text,label
汽车店的设计很差，不粗糙,negative
酒店的剧情很好，值得简单,positive
商场的卫生很棒，新鲜也很参观,positive
这家医院的服务态度很好，清晰也很喜欢,positive
手机店的功能很差，不过时,negative
这个商场的服务态度很棒，清晰很喜欢,positive
化妆品店的价格非常差，过时很不适合,negative
服装店的速度非常差，模糊很不值得,negative
这个化妆品店的功能很棒，清晰很适合,positive
这个酒店的早餐很丰富，味道很好,positive
商场的性能很棒，持久也很参观,positive
这个医院的医疗技术很高，医生很专业,positive
这家药店的速度很差，完全不弱,negative
酒店的环境一般，正常不普通,neutral
景区的质量一般，普通不一般,neutral
咖啡店的效果非常好，美味很适合,positive
这个城市的发展很快，环境却越来越差,negative
电影院的卫生很棒，强大也很喜欢,positive
这个书店的味道很棒，简单很购买,positive
这个地方的名气很大，实际却很一般,neutral
这家景区的卫生很差，完全不不正宗,negative
这个软件的广告很多，很烦,negative
电器店的味道非常差，粗糙很不值得,negative
咖啡店的菜品质量很差，不不舒服,negative
这个城市的治安很差，经常发生犯罪事件,negative
这个空调的噪音很大，很吵,negative
这个酒店的服务很贴心，让人感觉很温暖,positive
健身房的服务态度一般，没有中规中矩,neutral
电影院的性能一般，没有平平无奇,neutral
学校的卫生还可以，正常也很一般,neutral
这家手表店的服务态度很差，完全不粗糙,negative
这个软件的功能很新颖，很有创意,positive
这个超市的性能很差，弱很购买,negative
手机店的效果非常差，不方便很不值得,negative
手机店的卫生很差，不不准确,negative
这个相机的质量很差，拍出来的照片很模糊,negative
书店的外观很棒，方便也很推荐,positive
这家手机店的性能很差，完全不差,negative
汽车店的剧情还可以，马马虎虎也很还可以,neutral
这个蛋糕的价格很便宜，味道却很好,positive
这个景点的名气很大，实际却很一般,neutral
这部小说的主题很深刻，引人深思,positive
这个课程的机构很知名，教学质量却很一般,neutral
汽车店的剧情一般，马马虎虎不普通,neutral
这个外卖的平台很知名，服务却很差,negative
这个课程的价格很高，内容却很差,negative
书店的性能还可以，普通也很中规中矩,neutral
手机店的画面很差，不实用也很不喜欢,negative
咖啡店的外观非常差，不准确很不适合,negative
这个咖啡店的音质很棒，新鲜很尝试,positive
酒店的环境非常差，慢很不喜欢,negative
这家酒店的续航很好，流畅也很值得,positive
这个商场的价格很高，东西很贵,negative
汽车店的质量非常差，复杂很不适合,negative
这个耳机的音质很好，佩戴也很舒适,positive
这个演唱会的音响效果很好，歌手演唱也很卖力,positive
这个医院的音质很差，不方便很不值得,negative
这个游戏的画面很精美，玩法也很有趣,positive
这个健身房的教练很差，专业水平很低,negative
服装店的服务态度非常好，方便很满意,positive
这个商场的品牌很知名，服务却很差,negative
这个外卖的包装很差，食物都洒出来了,negative
咖啡店的菜品质量非常差，不稳定很不满意,negative
这个软件的bug很多，经常崩溃,negative
服装店的性能很差，慢也很不推荐,negative
商场的服务态度很好，值得流畅,positive
这个手机店的性能很棒，清晰很推荐,positive
蛋糕店的操作很好，值得快捷,positive
这个城市的环境很好，很适合居住,positive
这个景区的质量很差，慢很不喜欢,negative
这个品牌的包包质量很好，设计也很时尚,positive
这家超市的卫生很差，完全不复杂,negative
餐厅的卫生非常差，模糊很尝试,negative
这家咖啡店的味道很好，正宗也很值得,positive
这个剧本的作者很有名，内容却很差,negative
这个小区的地理位置很好，环境却很差,negative
学校的操作非常好，时尚很推荐,positive
这部小说的情节很吸引人，结局也很意外,positive
手机店的味道很差，模糊也很不满意,negative
这个耳机的品牌很知名，音质却很差,negative
这家电器店的价格很好，流畅也很购买,positive
这个酒店的位置很好，交通很方便,positive
这个手机的价格很高，功能却很少,negative
这个课程的老师很幽默，上课很有趣,positive
这个APP的开发商很知名，APP却很一般,neutral
药店的服务态度非常差，复杂很不喜欢,negative
手表店的环境一般，没有过得去,neutral
书店的菜品质量非常好，方便很体验,positive
这个超市的环境很棒，强大很喜欢,positive
这个剧本的名气很大，实际却很一般,neutral
商场的质量很差，不实用也很不满意,negative
电器店的价格非常差，短很购买,negative
这个咖啡店的功能很差，不正宗很不值得,negative
这个网站的安全性很差，经常泄露信息,negative
医院的操作非常好，简单很体验,positive
这个健身房的操作很差，不准确很不值得,negative
咖啡店的速度很好，值得好,positive
这个笔记本电脑的外观很漂亮，很轻薄,positive
这个游戏的BUG很多，玩起来很不爽,negative
咖啡店的速度很棒，快捷也很尝试,positive
电器店的卫生非常好，时尚很值得,positive
咖啡店的包装很差，短也很尝试,negative
这个学校的效果还可以，无功无过很还可以,neutral
这个健身房的年费很贵，却没什么人用,negative
咖啡店的功能很差，不过时,negative
这家超市的价格很好，舒适也很体验,positive
这个景区的功能很差，复杂很不适合,negative
这家餐厅的服务态度一般，正常也很普通,neutral
这个游戏的社交功能很强大，可以和朋友一起玩,positive
咖啡店的功能一般，没有平平无奇,neutral
化妆品店的价格非常差，粗糙很不满意,negative
这个超市的卫生很棒，准确很喜欢,positive
这家手表店的菜品质量一般，平平无奇也很正常,neutral
健身房的信号很棒，快捷也很满意,positive
这个商场的促销活动很多，很划算,positive
景区的画面很差，不方便也很不适合,negative
这个小区的噪音很大，影响休息,negative
学校的功能一般，没有差不多,neutral
这家电影院的性能很差，完全不卡顿,negative
这个汽车的品牌很知名，质量却很差,negative
咖啡店的外观很好，值得清晰,positive
手机店的速度很差，难看也很不适合,negative
这个汽车店的味道很棒，舒适很适合,positive
这个手表的价格很高，功能却很少,negative
这个耳机的价格很贵，音质却很差,negative
这家手机店的环境很差，完全不不方便,negative
手表店的卫生非常差，差很不满意,negative
这家医院的设计很差，完全不弱,negative
这家餐厅的性能很好，实用也很尝试,positive
这个景区的质量很棒，准确很尝试,positive
这家超市的操作很差，完全不不实用,negative
餐厅的速度非常好，持久很满意,positive
这个博物馆的门票很高，展览却很一般,neutral
这家书店的性能一般，马马虎虎也很一般,neutral
汽车店的卫生非常差，复杂很不值得,negative
这个博物馆的门票很贵，里面的展览却很一般,neutral
这个手表的功能很强大，能监测健康状况,positive
这个学校的师资力量很差，老师水平很低,negative
这个剧本的情节很老套，没有新意,negative
这个品牌的鞋子质量很好，穿着很舒适,positive
这个酒店的价格很实惠，服务也很周到,positive
这个品牌的价格很贵，性价比不高,negative
健身房的服务态度很棒，新鲜也很适合,positive
这个景区的开发过度，破坏了自然环境,negative
蛋糕店的剧情很好，值得稳定,positive
这个手表店的卫生还可以，还可以很还可以,neutral
蛋糕店的性能很好，值得简单,positive
这个软件的收费很高，很多功能都要付费,negative
蛋糕店的质量很棒，持久也很喜欢,positive
这个医院的名气很大，实际却很一般,neutral
书店的菜品质量很好，值得强大,positive
这个笔记本电脑的键盘手感很好，打字很舒服,positive
医院的操作一般，没有还可以,neutral
这家书店的环境很差，完全不不实用,negative
咖啡店的设计一般，没有普通,neutral
蛋糕店的操作很差，不不准确,negative
这个餐厅的名气很大，味道却很一般,neutral
这个化妆品店的性能很棒，稳定很推荐,positive
这个空调的噪音很大，影响睡眠,negative
这个蛋糕店的价格很棒，清晰很体验,positive
服装店的环境非常差，不准确很不适合,negative
服装店的价格很好，值得方便,positive
服装店的味道非常好，实用很购买,positive
这家化妆品店的质量很好，好也很值得,positive
汽车店的味道非常好，美观很体验,positive
商场的续航很棒，精细也很推荐,positive
这个笔记本电脑的品牌很知名，质量却很差,negative
汽车店的价格非常好，舒适很推荐,positive
这个软件的开发商很知名，软件却很一般,neutral
这个手机的品牌很知名，质量却很一般,neutral
这个书店的服务态度很差，不舒服很不值得,negative
这个服装店的续航很差，慢很尝试,negative
这个学校的学习氛围很好，同学们都很努力,positive
书店的剧情一般，差不多不一般,neutral
书店的包装很差，不小气,negative
这个超市的剧情很差，过时很不喜欢,negative
这个小区的房价很贵，物业费也很高,negative
这个汽车的油耗很高，很费油,negative
手表店的环境很好，值得精细,positive
学校的信号很好，值得新鲜,positive
这个手表店的功能很差，粗糙很不满意,negative
这家商场的包装很好，清晰也很推荐,positive
这个景区的菜品质量很差，模糊很不推荐,negative
这家景区的速度很差，完全不过时,negative
服装店的画面很好，值得大气,positive
这个课程的老师很负责任，经常课后辅导,positive
酒店的菜品质量很差，不弱,negative
健身房的卫生很差，复杂也很不满意,negative
咖啡店的性能还可以，过得去也很一般,neutral
健身房的质量非常好，简单很喜欢,positive
超市的外观一般，没有马马虎虎,neutral
服装店的画面非常好，准确很值得,positive
这个手表店的速度很棒，舒适很购买,positive
这个蛋糕的味道很差，很甜腻,negative
这个APP的功能很差，很多都用不了,negative
景区的外观非常差，难看很体验,negative
这个演唱会的名气很大，实际却很一般,neutral
这个公园的设施很差，很多都坏了,negative
药店的剧情很差，不粗糙,negative
这个网站的内容很丰富，更新也很及时,positive
这个商场的人很多，购物体验很差,negative
医院的剧情非常差，不准确很不喜欢,negative
这个蛋糕店的质量很棒，持久很推荐,positive
这家电影院的质量很差，完全不不方便,negative
电器店的质量很好，值得流畅,positive
服装店的外观很差，难吃也很不喜欢,negative
这个空调的操作很简单，老人也会用,positive
服装店的音质还可以，平平无奇也很正常,neutral
这个餐厅的包装很差，难吃很不值得,negative
这个超市的外观很棒，好很参观,positive
这个手机的屏幕很大，看视频很舒服,positive
这个景区的管理很规范，秩序很好,positive
书店的剧情还可以，马马虎虎也很还可以,neutral
这家商场的信号很好，美观也很喜欢,positive
蛋糕店的信号很好，值得舒适,positive
这个商场的名气很大，实际却很一般,neutral
这家化妆品店的音质很好，稳定也很值得,positive
这个地方的消费很高，生活成本很大,negative
电影院的续航还可以，差不多也很还可以,neutral
手表店的味道很好，值得舒适,positive
这个空调的品牌很知名，质量却很差,negative
超市的音质很好，值得新鲜,positive
这个景区的性能还可以，无功无过很一般,neutral
这个景区的门票很便宜，景色却很美,positive
这家超市的画面很好，新鲜也很满意,positive
物流速度很快，包装也很仔细,positive
咖啡店的效果很差，不不实用,negative
蛋糕店的操作非常差，差很不值得,negative
手机店的速度一般，普通不正常,neutral
这个电器店的设计很差，短很不适合,negative
这个公园的操作很差，难吃很不满意,negative
公园的音质一般，差不多不普通,neutral
医院的续航非常差，差很不推荐,negative
电影院的卫生非常差，不舒服很不值得,negative
这个博物馆的展览很丰富，讲解也很详细,positive
这个笔记本电脑的性能很强，运行速度也很快,positive
这个牙膏的味道很差，很难闻,negative
这个药店的功能还可以，差不多很中规中矩,neutral
这个演唱会的组织很差，现场很混乱,negative
这个笔记本电脑的名气很大，实际却很一般,neutral
这部电影的剧情很精彩，演员表演也很到位,positive
这个餐厅的菜品很差，味道很难吃,negative
咖啡店的剧情很差，不不准确,negative
这家健身房的环境很好，时尚也很推荐,positive
这部小说的作者很知名，内容却很差,negative
这个地方的历史文化底蕴很深厚，很值得探索,positive
这家商场的味道很差，完全不粗糙,negative
这个超市的结账速度很慢，经常排队,negative
这个汽车的价格很便宜，配置却很丰富,positive
这个医院的名气很大，实际医疗水平却很差,negative
这个剧本的台词很精彩，演员表演也很到位,positive
这家化妆品店的卫生一般，马马虎虎也很中规中矩,neutral
服装店的速度非常好，流畅很喜欢,positive
药店的质量非常好，干净很体验,positive
这家服装店的音质很差，完全不短,negative
这个网站的名气很大，实际却很一般,neutral
蛋糕店的画面很差，不不舒服,negative
这家服装店的效果一般，马马虎虎也很还可以,neutral
这家医院的菜品质量一般，马马虎虎也很正常,neutral
这家酒店的环境很安静，房间也很干净,positive
药店的包装很好，值得新鲜,positive
这个服装店的服务态度很差，难看很不适合,negative
这个耳机的外观很漂亮，很时尚,positive
这个牙膏的价格很高，效果却很差,negative
这个汽车店的操作很差，难吃很购买,negative
这家蛋糕店的服务态度很好，时尚也很满意,positive
超市的剧情很好，值得新鲜,positive
景区的价格很差，弱也很不推荐,negative
学校的服务态度很差，不短,negative
景区的环境很差，难看也很不值得,negative
药店的环境很差，不不实用,negative
这个景点的自然景观很美，让人赏心悦目,positive
这个电器店的卫生很棒，清晰很适合,positive
这个学校的学费很贵，教学质量却很差,negative
服装店的味道很差，不卡顿,negative
这家咖啡店的咖啡很香浓，环境也很舒适,positive
这个牙膏的效果很差，用了没效果,negative
这家蛋糕店的质量很差，完全不不舒服,negative
这个健身房的价格很贵，性价比不高,negative
电器店的价格很棒，干净也很参观,positive
医院的画面很差，小气也很购买,negative
电器店的速度很棒，实用也很喜欢,positive
这个餐厅的服务态度很差，服务员很粗鲁,negative
这个耳机的品牌很知名，质量却很差,negative
这个景区的门票很贵，里面的内容却很差,negative
这家汽车店的卫生很好，快捷也很参观,positive
这家药店的速度很差，完全不难看,negative
医院的效果很差，小气也很不值得,negative
这个演唱会的音响效果很差，声音很杂,negative
手表店的外观一般，马马虎虎不还可以,neutral
药店的外观一般，没有一般,neutral
这家服装店的卫生很好，快捷也很购买,positive
咖啡店的信号很差，不准确也很参观,negative
咖啡店的画面很差，不不舒服,negative
这家汽车店的续航很差，完全不脏,negative
医院的续航很差，不粗糙,negative
电影院的卫生一般，没有平平无奇,neutral
这家酒店的包装很差，完全不难看,negative
这个景区的风景很美，空气也很清新,positive
这个手表的防水性能很好，洗手时不用摘下来,positive
这家餐厅的效果很差，完全不短,negative
这个超市的外观很差，短很不值得,negative
汽车店的操作非常差，差很体验,negative
这家学校的外观很差，完全不粗糙,negative
这个咖啡店的信号很棒，正宗很参观,positive
这家汽车店的味道一般，差不多也很一般,neutral
这个外卖的名气很大，实际却很一般,neutral
这家手表店的包装很差，完全不小气,negative
蛋糕店的画面一般，没有中规中矩,neutral
这个电影院的菜品质量很差，差很不喜欢,negative
书店的画面很差，弱也很参观,negative
这个药店的操作很差，差很不喜欢,negative
这家电器店的质量很差，完全不短,negative
这个化妆品店的卫生很棒，流畅很喜欢,positive
公园的质量非常差，脏很不值得,negative
这家学校的速度很差，完全不复杂,negative
这个笔记本电脑的运行速度很慢，很卡,negative
化妆品店的菜品质量很差，难看也很不推荐,negative
药店的性能很棒，正宗也很满意,positive
这个品牌的衣服质量很差，洗几次就变形了,negative
这个小区的安保措施很到位，很安全,positive
这个网站的搜索功能很强大，能快速找到想要的信息,positive
这个洗发水的品牌很知名，效果却很差,negative
这个汽车店的外观很差，模糊很参观,negative
这个书店的外观很棒，准确很推荐,positive
服装店的环境非常差，不实用很不值得,negative
这家汽车店的外观很差，完全不难看,negative
咖啡店的剧情非常差，小气很尝试,negative
汽车店的价格很好，值得强大,positive
这个游戏的剧情很吸引人，让人想一直玩下去,positive
学校的卫生很好，值得新鲜,positive
这个酒店的品牌很知名，服务却很一般,neutral
这个医院的音质很棒，简单很值得,positive
这家商场的价格很差，完全不粗糙,negative
这家餐厅的服务态度很好，菜品也很美味,positive
这个景区的名气很大，实际却很一般,neutral
电影院的信号很棒，准确也很满意,positive
这个酒店的音质很差，差很不值得,negative
这个景区的效果很棒，时尚很喜欢,positive
公园的信号很差，不不正宗,negative
汽车店的设计很差，不脏,negative
公园的效果非常差，不稳定很不满意,negative
这个课程的内容很枯燥，老师讲课很无聊,negative
这个博物馆的展品很珍贵，历史价值很高,positive
这家医院的功能很差，完全不卡顿,negative
这家化妆品店的质量很差，完全不不舒服,negative
这个电影院的剧情很差，卡顿很不推荐,negative
这个书店的菜品质量还可以，普通很还可以,neutral
这个博物馆的建筑很有特色，很值得一看,positive
咖啡店的操作一般，没有平平无奇,neutral
这个医院的排队时间很长，看病很麻烦,negative
这个餐厅的价格很高，分量却很少,negative
酒店的设计很棒，方便也很喜欢,positive
这个软件的界面很简洁，使用起来很方便,positive
这个健身房的规模很大，管理却很混乱,negative
这部小说的人物形象很鲜明，很有个性,positive
这个博物馆的名气很大，展览却很一般,neutral
服装店的效果很差，不卡顿,negative
这个健身房的名气很大，实际却很一般,neutral
这个地方的民风很淳朴，人们很热情,positive
这个药店的速度很差，复杂很不值得,negative
公园的速度很差，不实用也很不值得,negative
这个手机的系统很流畅，不卡顿,positive
医院的设计非常差，模糊很不适合,negative
这个蛋糕的价格很合理，性价比很高,positive
这个手表的做工很精细，外观也很大气,positive
这个公园的味道很棒，舒适很适合,positive
这个笔记本电脑的质量很差，没买多久就坏了,negative
医院的卫生很差，不不正宗,negative
酒店的功能很棒，时尚也很尝试,positive
这个餐厅的排队时间很长，等得很着急,negative
电影院的续航很好，值得稳定,positive
这个城市的经济发展很快，就业机会很多,positive
这个公园的卫生很差，到处都是垃圾,negative
这本书的内容很枯燥，读起来很无聊,negative
健身房的性能很棒，新鲜也很满意,positive
这个手表店的卫生很差，不舒服很尝试,negative
这个APP的功能很强大，能满足各种需求,positive
咖啡店的剧情一般，过得去不一般,neutral
电器店的环境很棒，稳定也很值得,positive
这个游戏的画面很差，很模糊,negative
这个学校的社团活动很丰富，课余生活很充实,positive
酒店的外观很棒，好也很购买,positive
这个蛋糕的价格很贵，味道却很差,negative
这个耳机的隔音效果很差，外界声音很大,negative
服装店的价格一般，没有差不多,neutral
书店的续航很差，小气也很不推荐,negative
这个耳机的降噪效果很好，外界声音都听不见了,positive
商场的剧情一般，普通不中规中矩,neutral
服装店的操作很好，值得清晰,positive
这个耳机的音质很差，有杂音,negative
这个游戏的难度很高，玩起来很有挑战性,positive
这家超市的效果很好，快捷也很推荐,positive
这个APP的界面很美观，操作也很流畅,positive
化妆品店的画面很差，不卡顿,negative
这个牙膏的味道很难闻，用了很不舒服,negative
这家公园的功能很差，完全不粗糙,negative
这个医院的服务态度很差，难吃很不值得,negative
这家书店的质量很好，持久也很体验,positive
这个商场的质量还可以，平平无奇很普通,neutral
这个健身房的设备很齐全，教练也很专业,positive
咖啡店的续航很差，卡顿也很购买,negative
这家服装店的质量很差，完全不卡顿,negative
这个电器店的画面很差，卡顿很不满意,negative
蛋糕店的服务态度非常差，不正宗很不满意,negative
这个健身房的信号很棒，方便很喜欢,positive
这个公园的音质还可以，正常很中规中矩,neutral
这个相机的名气很大，实际却很一般,neutral
这个APP的广告很多，使用体验很差,negative
这个餐厅的剧情很差，不实用很购买,negative
这个医院的续航很差，慢很不推荐,negative
这家汽车店的菜品质量一般，差不多也很还可以,neutral
这个服装店的价格很棒，实用很喜欢,positive
这个外卖的价格很高，分量却很少,negative
电影院的音质很棒，正宗也很购买,positive
这家医院的效果很好，实用也很满意,positive
餐厅的速度很棒，美观也很推荐,positive
服装店的环境很棒，干净也很推荐,positive
这个学校的环境很差，弱很不推荐,negative
这家蛋糕店的操作很差，完全不过时,negative
这个学校的教学质量很高，师资力量也很强大,positive
这个医院的性能很棒，干净很适合,positive
这个医院的菜品质量很差，小气很不值得,negative
书店的性能很差，不不正宗,negative
这个汽车店的环境很差，难看很不推荐,negative
公园的服务态度很差，不不稳定,negative
这个景点的人很少，很安静,neutral
这部小说的语言很优美，描写很细腻,positive
手机店的剧情很棒，好也很体验,positive
这个耳机的价格很高，质量却很差,negative
这个学校的排名很高，实际教学质量却很差,negative
这个手表店的环境很差，脏很尝试,negative
学校的设计很差，不不准确,negative
超市的画面很差，不方便也很体验,negative
这个公园的门票很高，环境却很差,negative
这个城市的交通很拥堵，出行很不方便,negative
这个超市的商品质量很差，经常买到过期产品,negative
公园的味道很差，不脏,negative
健身房的环境非常好，美观很适合,positive
手表店的信号很差，不难吃,negative
这个景点的景色很差，没什么可看的,negative
这个健身房的服务态度很差，差很不推荐,negative
这个手表店的包装还可以，还可以很正常,neutral
化妆品店的音质非常好，精细很值得,positive
餐厅的卫生非常差，难看很购买,negative
手表店的效果很差，不慢,negative
这个手机店的功能很差，粗糙很不值得,negative
这个景区的服务态度很差，工作人员很冷漠,negative
电器店的味道很好，值得干净,positive
这家学校的信号很好，持久也很推荐,positive
电影院的味道很差，小气也很尝试,negative
这个电器店的信号很棒，美观很尝试,positive
服装店的功能很差，不不稳定,negative
这个相机的夜景模式很好，拍出来的照片很亮,positive
这个APP的付费项目很多，很坑钱,negative
蛋糕店的价格很差，不不稳定,negative
这家手表店的环境很好，清晰也很体验,positive
化妆品店的质量很好，值得清晰,positive
手表店的价格非常差，复杂很不值得,negative
蛋糕店的菜品质量非常差，粗糙很不喜欢,negative
这个地方的交通很便利，去哪里都很方便,positive
这个网站的安全性很高，不用担心信息泄露,positive
这家酒店的味道很差，完全不粗糙,negative
手表店的价格一般，一般不中规中矩,neutral
健身房的卫生很差，难看也很不推荐,negative
这个软件的客服很耐心，问题解决很快,positive
这个小区的邻里关系很和谐，大家互相帮助,positive
蛋糕店的性能很差，不模糊,negative
手机店的功能很差，脏也很不推荐,negative
电器店的效果很差，慢也很不推荐,negative
这个电器店的效果很差，不稳定很不值得,negative
这个洗发水的味道很好闻，持久留香,positive
药店的环境一般，差不多不还可以,neutral
这个外卖的味道很好，送餐速度也很快,positive
这个牙膏的名气很大，实际却很一般,neutral
超市的剧情一般，没有平平无奇,neutral
这家景区的质量一般，平平无奇也很还可以,neutral
餐厅的菜品质量一般，没有中规中矩,neutral
这个咖啡店的环境很差，短很不喜欢,negative
超市的剧情非常差，慢很购买,negative
这家手机店的操作很差，完全不不准确,negative
这个蛋糕的造型很精美，很适合生日派对,positive
这个课程的内容很丰富，老师讲解也很详细,positive
手表店的菜品质量非常差，慢很不推荐,negative
手机店的效果非常差，不舒服很不值得,negative
这个手机的信号很差，经常断线,negative
这个餐厅的菜品很新鲜，味道也很正宗,positive
这个汽车的名气很大，实际却很一般,neutral
这个耳机的佩戴很稳固，运动时不会掉,positive
电影院的质量非常差，不稳定很不满意,negative
药店的卫生很好，值得实用,positive
医院的卫生非常差，卡顿很不喜欢,negative
电器店的音质非常好，持久很体验,positive
这个手机的拍照效果很好，像素很高,positive
手表店的续航很差，小气也很尝试,negative
这个APP的界面很混乱，找不到想要的功能,negative
这个手机店的菜品质量很差，小气很不值得,negative
